Ticket_ID,Student_ID,Category,Complaint_Text,Priority,Status,Date_Submitted,Unnamed: 0.1,Unnamed: 0
TCKT0566,S10566,IT,موقع الجامعة بطيء وأحياناً لا يستجيب.,Medium,Open,2024-10-24,,
TCKT0567,S10567,Financial Support,التقارير المالية غير شفافة مما يربك الطلاب.,Medium,In Progress,2025-01-21,,
TCKT0568,S10568,Student Affairs,قلة أماكن الدراسة الجماعية تسبب إزعاج.,Low,Open,2024-12-03,,
TCKT0569,S10569,Academic Support and Resources,الكتب غير متوفرة بسهولة في المكتبة الرقمية.,High,Open,2025-02-07,,
TCKT0570,S10570,IT,تحميل المحاضرات يستغرق وقتًا طويلًا.,Medium,Open,2024-11-28,,
TCKT0571,S10571,Financial Support,التأخير في صرف المنح يسبب مشاكل مالية.,High,Open,2024-10-29,,
TCKT0572,S10572,Student Affairs,ازدحام الكافتيريا يسبب مشاكل يومية.,Medium,Open,2025-01-18,,
TCKT0573,S10573,Academic Support and Resources,المختبرات غير مجهزة بشكل كافٍ.,Medium,Open,2024-12-20,,
TCKT0574,S10574,IT,الدعم الفني يستغرق وقتًا طويلاً للرد.,Medium,Open,2025-02-26,,
TCKT0575,S10575,Financial Support,الإجراءات المالية معقدة وتتطلب تبسيطًا.,Medium,Open,2024-10-09,,
TCKT0577,S10577,Academic Support and Resources,جدول المحاضرات غير مناسب للجميع.,High,Open,2024-11-23,,
TCKT0578,S10578,IT,عملية التسجيل معقدة وتحتاج تحسين.,Medium,Open,2025-01-05,,
TCKT0580,S10580,Student Affairs,أسعار الطعام مرتفعة بالنسبة للجودة.,Low,Open,2025-02-14,,
TCKT0581,S10581,Academic Support and Resources,الدورات قصيرة ولا تغطي المحتوى المطلوب.,Medium,Open,2024-09-28,,
TCKT0582,S10582,IT,التطبيق يعاني من الكثير من الأخطاء.,Medium,Open,2024-11-10,,
TCKT0583,S10583,Financial Support,التقارير المالية غير دقيقة أحيانًا.,Medium,Open,2025-01-29,,
TCKT0585,S10585,Academic Support and Resources,الدعم الإلكتروني قليل وغير كافٍ.,High,In Progress,2025-03-03,,
TCKT0586,S10586,IT,التطبيق بطيء ويتوقف كثيرًا.,Medium,Open,2024-10-17,,
TCKT0588,S10588,Student Affairs,قلة مواقف السيارات تسبب مشاكل.,Low,Open,2024-11-14,,
TCKT0589,S10589,Academic Support and Resources,الدورات التدريبية قصيرة وغير متواصلة.,Medium,Open,2025-01-06,,
TCKT0590,S10590,IT,المختبر الرقمي يواجه مشاكل مستمرة.,High,In Progress,2024-10-30,,
TCKT0591,S10591,Financial Support,البيروقراطية تؤخر صرف الدعم المالي.,Medium,Open,2024-11-08,,
TCKT0593,S10593,Academic Support and Resources,المحاضرات غير منظمة وتحتاج ترتيب.,High,Open,2024-10-15,,
TCKT0594,S10594,IT,الدعم التقني ضعيف خلال أوقات العطل.,Medium,Open,2024-12-24,,
TCKT0595,S10595,Financial Support,طلاب مستحقون للدعم لم يحصلوا عليه.,Medium,Open,2025-01-17,,
TCKT0596,S10596,Student Affairs,الإضاءة ضعيفة للغاية وتشكل خطرًا.,Urgent,Open,2024-11-02,,
TCKT0598,S10598,IT,المشاكل التقنية في النظام التعليمي متكررة.,High,Open,2024-10-12,,
TCKT0601,S10601,Financial Support,ضحكت عليكم والله، المصاريف بتتأخر وأنا مش قادر أستنى.,Medium,Open,2024-09-02,,
TCKT0602,S10602,Student Affairs,سكن الجامعة خربان والإدارة مش فارقة معاهم.,High,In Progress,2024-09-04,,
TCKT0603,S10603,Academic Support and Resources,الشرح بتاع الأستاذ مش واضح بالمرة، وبجد محتاج دعم.,Medium,Open,2024-09-06,,
TCKT0604,S10604,IT,النت في المكتبة بيقطع باستمرار، دراسة إزاي؟,Urgent,Open,2024-09-08,,
TCKT0605,S10605,Financial Support,حسبت الرسوم كلها، طلعت زيادة، ريحوني بقى.,High,In Progress,2024-09-10,,
TCKT0606,S10606,Student Affairs,النوادي مش بتتفاعل مع طلباتنا، حرام عليهم.,Medium,Open,2024-09-12,,
TCKT0607,S10607,Academic Support and Resources,المكتبة بتقفل بدري ولا بتهتمش بالمواعيد.,Low,Open,2024-09-14,,
TCKT0608,S10608,IT,مش قادر أسجل دخول للنظام، المشكلة دي مش جديدة.,High,In Progress,2024-09-16,,
TCKT0609,S10609,Financial Support,المنحة متأخرة والضغوط مالية جامدة.,Urgent,Open,2024-09-18,,
TCKT0610,S10610,Student Affairs,الكافتيريا وحشتني والنظافة معدومة.,Medium,In Progress,2024-09-20,,
TCKT0611,S10611,Academic Support and Resources,محتاج شرح زيادة للمادة دي عشان مابيضبطش.,Medium,Open,2024-09-22,,
TCKT0612,S10612,IT,الكمبيوترات في المعمل قديمة ومش شغالة كويس.,Low,Open,2024-09-24,,
TCKT0613,S10613,Financial Support,الدفع الإلكتروني معقد فعلاً ومش واضح.,Medium,Open,2024-09-26,,
TCKT0614,S10614,Student Affairs,السكن مهمل والصيانة مش منتظمة.,High,In Progress,2024-09-28,,
TCKT0615,S10615,Academic Support and Resources,المحاضرات الإضافية غير متاحة في مواعيد مناسبة.,Medium,Open,2024-09-30,,
TCKT0616,S10616,IT,برنامج التسجيل بيعلق ع الطبيعة دي.,High,In Progress,2024-10-02,,
TCKT0617,S10617,Financial Support,مفيش شفافية في حساب المنح، وده مضايقني.,Medium,Resolved,2024-10-04,,
TCKT0618,S10618,Student Affairs,مافيش تنظيم والطلاب بيتخانقوا على المرافق.,Medium,Open,2024-10-06,,
TCKT0619,S10619,Academic Support and Resources,الكتب اللي محتاجها مش متوفرة في المكتبة الرقمية.,High,In Progress,2024-10-08,,
TCKT0620,S10620,IT,النت في القاعات الرقمية تعليق وبيأثر على الشغل.,Urgent,Open,2024-10-10,,
TCKT0621,S10621,Financial Support,مش فاهم طريقة حساب الأقساط دي، شرحولي بقى.,Low,Resolved,2024-10-12,,
TCKT0622,S10622,Student Affairs,النادي الرياضي مش بيهتم بينا بحاجة.,Medium,Open,2024-10-14,,
TCKT0623,S10623,Academic Support and Resources,المختبرات قديمة جداً ومفيهاش أجهزة حديثة.,High,In Progress,2024-10-16,,
TCKT0624,S10624,IT,المساعدة التقنية بطيئة جداً ومش بترد في الوقت المناسب.,Medium,Open,2024-10-18,,
TCKT0625,S10625,Financial Support,الدفع بتاع المصاريف متأخر أكتر من المعتاد.,Medium,In Progress,2024-10-20,,
TCKT0626,S10626,Student Affairs,القوانين مش واضحة والطلاب مش عارفين يتصرفوا إزاي.,High,Open,2024-10-22,,
TCKT0627,S10627,Academic Support and Resources,البرامج التعليمية نتنة وبتحتاج تحديث كبير.,Medium,Open,2024-10-24,,
TCKT0628,S10628,IT,البرنامج فيه مشاكل كتير ومش بينفع نشتغل عليه.,High,In Progress,2024-10-26,,
TCKT0629,S10629,Financial Support,إجراءات القروض الف تلج مش سهلة بتأخرنا.,Medium,Resolved,2024-10-28,,
TCKT0630,S10630,Student Affairs,مفيش حد بيرد على الشكاوى اللي بنقدمها.,Low,Open,2024-10-30,,
TCKT0631,S10631,Academic Support and Resources,محتاج إرشادات أكتر بخصوص البحث العلمي.,Medium,Open,2024-11-01,,
TCKT0632,S10632,IT,تحديثات النظام بتخرب وأحيانًا النظام بيقفل.,Medium,Open,2024-11-03,,
TCKT0633,S10633,Financial Support,تأخير صرف المنحة بيأثر على تكاليف المعيشة.,High,Open,2024-11-05,,
TCKT0634,S10634,Student Affairs,مختلط بيننا وده بيخلي الحياة معقدة أكثر.,Medium,Open,2024-11-07,,
TCKT0635,S10635,Academic Support and Resources,مواعيد الدراسة والنشاطات متضاربة مع الشغل.,Medium,In Progress,2024-11-09,,
TCKT0636,S10636,IT,لازم يكون في صيانة دورية للكمبيوترات.,Low,Open,2024-11-11,,
TCKT0637,S10637,Financial Support,الرسوم مرات بتئخر ومابتبقاش ثابتة.,Medium,Open,2024-11-13,,
TCKT0638,S10638,Student Affairs,الكافتيريا أسعارها فجأة غالية مفيش مبرر.,High,In Progress,2024-11-15,,
TCKT0639,S10639,Academic Support and Resources,بتمنعنا الكتب القديمة من الشغل بكفاءة.,Medium,Open,2024-11-17,,
TCKT0640,S10640,IT,الدعم الفني مش بيرد في مواعيد مناسبة.,Medium,Open,2024-11-19,,
TCKT0641,S10641,Financial Support,المعلومات الخاصة بالقروض مش معروفة للكل.,Low,Open,2024-11-21,,
TCKT0642,S10642,Student Affairs,النظافة عامة مش على ما يرام.,Medium,Open,2024-11-23,,
TCKT0643,S10643,Academic Support and Resources,المواد مش مترتبة كويس ولا المنظمة واضحة.,High,Open,2024-11-25,,
TCKT0644,S10644,IT,تسجيل الدخول نادرًا ما بينجح من المرة الأولى.,High,In Progress,2024-11-27,,
TCKT0645,S10645,Financial Support,المبالغ بتتغير من غير أسباب واضحة.,Medium,Open,2024-11-29,,
TCKT0646,S10646,Student Affairs,الأنشطة بحاجة لتغيير جذري.,Medium,Open,2024-12-01,,
TCKT0647,S10647,Academic Support and Resources,الشرح غير ميسر وبحاجة لشرح عملي أكثر.,Medium,Open,2024-12-03,,
TCKT0648,S10648,IT,الشبكة ضعيفة والتحميل بيبقى تعبان.,Urgent,Open,2024-12-05,,
TCKT0649,S10649,Financial Support,احتاج مساعدة في فهم الفواتير الأخير.,Medium,In Progress,2024-12-07,,
TCKT0650,S10650,Student Affairs,مفيش رد من الإدارة,Medium,Open,2024-12-09,,
TCKT0601,S10601,Financial Support,المصاريف متأخرة وده مأثر على دراستي.,Medium,Open,2024-09-02,,
TCKT0650,S10650,Student Affairs,المواقف قليلة ومفيش رد من الإدارة.,Medium,Open,2024-12-09,,
TCKT0651,S10651,Financial Support,تأخرت المنح المالية وده مأثر على مصاريفي.,High,In Progress,2024-12-11,,
TCKT0652,S10652,Student Affairs,النظافة في السكن ضعيفة للغاية ومش مقبولة.,Medium,Open,2024-12-13,,
TCKT0653,S10653,Academic Support and Resources,شرح بعض المواد معقد ومحتاج توضيح أكثر.,Medium,Open,2024-12-15,,
TCKT0654,S10654,IT,الإنترنت في الجامعة غير مستقر، ومش قادر أشتغل.,Urgent,Open,2024-12-17,,
TCKT0655,S10655,Financial Support,الرسوم مرتفعة بدون تقديم أي خدمة إضافية.,High,Open,2024-12-19,,
TCKT0656,S10656,Student Affairs,قلة الفعاليات جعلت الحياة الجامعية مملة.,Low,Open,2024-12-21,,
TCKT0657,S10657,Academic Support and Resources,المكتبة الرقمية مش بتوفر كل المصادر المطلوبة.,Medium,Open,2024-12-23,,
TCKT0658,S10658,IT,الدعم الفني بطيء في معالجة الشكاوى.,Medium,Open,2024-12-25,,
TCKT0659,S10659,Financial Support,الإجراءات الخاصة بالدعم المالي معقدة جداً.,Medium,Open,2024-12-27,,
TCKT0660,S10660,Student Affairs,ازدحام الكافتيريا بيأثر على وقتنا.,Medium,Open,2024-12-29,,
TCKT0661,S10661,Academic Support and Resources,المواد الدراسية غير متوفرة أونلاين بشكل كامل.,High,Open,2024-12-31,,
TCKT0662,S10662,IT,مشكلات في تسجيل الدخول للمنصة الإلكترونية.,High,In Progress,2025-01-02,,
TCKT0663,S10663,Financial Support,الفواتير غير واضحة وتسبب لبسًا للطلاب.,Medium,Open,2025-01-04,,
TCKT0664,S10664,Student Affairs,الإضاءة في الممرات ضعيفة جدًا وتهدد السلامة.,Urgent,Open,2025-01-06,,
TCKT0665,S10665,Academic Support and Resources,بحاجة لدعم أكاديمي إضافي لفهم المواد.,Medium,Open,2025-01-08,,
TCKT0666,S10666,IT,الموقع بطيء ويستهلك وقت كثير.,Medium,Open,2025-01-10,,
TCKT0667,S10667,Financial Support,النتائج المالية غير واضحة، نحتاج لتوضيح.,Medium,In Progress,2025-01-12,,
TCKT0668,S10668,Student Affairs,قلة أماكن الدراسة المشتركة تسبب إرهاق.,Low,Open,2025-01-14,,
TCKT0669,S10669,Academic Support and Resources,الكتب المطلوبة غير متوفرة بسهولة.,High,Open,2025-01-16,,
TCKT0670,S10670,IT,تحميل المحاضرات يستغرق وقت طويل جدًا.,Medium,Open,2025-01-18,,
TCKT0671,S10671,Financial Support,تأخير صرف المنح يسبب مشاكل مادية.,High,Open,2025-01-20,,
TCKT0672,S10672,Student Affairs,ازدحام الكافتيريا يسبب توتر.,Medium,Open,2025-01-22,,
TCKT0674,S10674,IT,الدعم الفني بطيء جدًا في الرد.,Medium,Open,2025-01-26,,
TCKT0675,S10675,Financial Support,الإجراءات معقدة للغاية.,Medium,Open,2025-01-28,,
TCKT0676,S10676,Student Affairs,النقل داخل الحرم الجامعي سيء.,Medium,Open,2025-01-30,,
TCKT0677,S10677,Academic Support and Resources,جدول المحاضرات غير مناسب.,High,Open,2025-02-01,,
TCKT0678,S10678,IT,عملية التسجيل معقدة جدًا.,Medium,Open,2025-02-03,,
TCKT0679,S10679,Financial Support,الرسوم تتغير بدون إشعار مسبق.,Medium,In Progress,2025-02-05,,
TCKT0680,S10680,Student Affairs,أسعار الطعام مرتفعة.,Low,Open,2025-02-07,,
TCKT0681,S10681,Academic Support and Resources,الدورات قصيرة وغير كافية.,Medium,Open,2025-02-09,,
TCKT0682,S10682,IT,التطبيق الجامعي يعاني مشاكل.,Medium,Open,2025-02-11,,
TCKT0684,S10684,Student Affairs,إجراءات الانضمام للنوادي معقدة.,Medium,Open,2025-02-15,,
TCKT0685,S10685,Academic Support and Resources,الدعم الإلكتروني غير كافٍ.,High,In Progress,2025-02-17,,
TCKT0686,S10686,IT,التطبيق بطيء ويتوقف.,Medium,Open,2025-02-19,,
TCKT0687,S10687,Financial Support,المسائل المالية مربكة.,Medium,Open,2025-02-21,,
TCKT0689,S10689,Academic Support and Resources,الدورات التدريبية قصيرة.,Medium,Open,2025-02-25,,
TCKT0690,S10690,IT,المختبر الرقمي يعاني مشاكل.,High,In Progress,2025-02-27,,
TCKT0691,S10691,Financial Support,البيروقراطية تبطئ الدعم المالي.,Medium,Open,2025-03-01,,
TCKT0693,S10693,Academic Support and Resources,المحاضرات غير منظمة.,High,Open,2025-03-05,,
TCKT0694,S10694,IT,الدعم التقني محدود.,Medium,Open,2025-03-07,,
TCKT0695,S10695,Financial Support,المساعدات لا تصل للطلاب المحتاجين.,Medium,Open,2025-03-09,,
TCKT0696,S10696,Student Affairs,الإضاءة ضعيفة في الممرات.,Urgent,Open,2025-03-11,,
TCKT0697,S10697,Academic Support and Resources,نقص التمويل يؤثر سلبًا على المختبر.,Medium,In Progress,2025-03-13,,
TCKT0698,S10698,IT,المشاكل التقنية مستمرة.,High,Open,2025-03-15,,
TCKT0699,S10699,Financial Support,التغييرات المفاجئة في الرسوم.,Medium,Open,2025-03-17,,
TCKT0700,S10700,Student Affairs,ضغط السكن عالي وغير مناسب.,Medium,Open,2025-03-19,,
TCKT0701,S10701,Financial Support,المساعدات المالية متأخرة جداً ومضايقة للطلاب.,High,In Progress,2025-03-21,,
TCKT0702,S10702,Student Affairs,الصيانة في السكن ضعيفة ومفيش متابعة.,Medium,Open,2025-03-23,,
TCKT0703,S10703,Academic Support and Resources,الشرح غير واضح في المحاضرات ويحتاج تحسين.,Medium,Open,2025-03-25,,
TCKT0704,S10704,IT,الإنترنت بيقطع باستمرار وده بيأثر على الدراسة.,Urgent,Open,2025-03-27,,
TCKT0705,S10705,Financial Support,الرسوم بتزيد بدون أي مبرر ولا توضيح.,High,Open,2025-03-29,,
TCKT0706,S10706,Student Affairs,قلة الفعاليات الطلابية مملة وبدون تجديد.,Low,Open,2025-03-31,,
TCKT0707,S10707,Academic Support and Resources,المكتبة الرقمية مش بتغطي كل الكتب المطلوبة.,Medium,Open,2025-04-02,,
TCKT0708,S10708,IT,الدعم الفني بطيء جداً ومش بيرد على الشكاوى.,Medium,Open,2025-04-04,,
TCKT0709,S10709,Financial Support,الإجراءات المالية معقدة ومرهقة للطلاب.,Medium,Open,2025-04-06,,
TCKT0710,S10710,Student Affairs,التكدس في الكافتيريا بيأثر على تجربة الطلاب.,Medium,Open,2025-04-08,,
TCKT0711,S10711,Academic Support and Resources,المواد الدراسية مش متوفرة كاملة على الإنترنت.,High,Open,2025-04-10,,
TCKT0712,S10712,IT,مشاكل تسجيل الدخول متكررة ومزعجة.,High,In Progress,2025-04-12,,
TCKT0713,S10713,Financial Support,الفواتير غير واضحة ومتغيرة بدون إنذار.,Medium,Open,2025-04-14,,
TCKT0714,S10714,Student Affairs,الإضاءة في الممرات ضعيفة جداً ومخيفة.,Urgent,Open,2025-04-16,,
TCKT0715,S10715,Academic Support and Resources,بحاجة لدعم أكاديمي أكثر لفهم المواد.,Medium,Open,2025-04-18,,
TCKT0716,S10716,IT,الموقع بطيء جدًا وصعب الاستخدام.,Medium,Open,2025-04-20,,
TCKT0717,S10717,Financial Support,التقارير المالية معقدة ومربكة.,Medium,In Progress,2025-04-22,,
TCKT0718,S10718,Student Affairs,قلة أماكن الدراسة المشتركة تسبب مشاكل.,Low,Open,2025-04-24,,
TCKT0720,S10720,IT,تحميل المحاضرات يستغرق وقت طويل جداً.,Medium,Open,2025-04-28,,
TCKT0721,S10721,Financial Support,تأخير صرف المنح يسبب مشاكل مالية.,High,Open,2025-04-30,,
TCKT0722,S10722,Student Affairs,ازدحام الكافتيريا مزعج للغاية.,Medium,Open,2025-05-02,,
TCKT0724,S10724,IT,الدعم الفني يتأخر في الرد.,Medium,Open,2025-05-06,,
TCKT0726,S10726,Student Affairs,المواصلات داخل الحرم غير منظمة.,Medium,Open,2025-05-10,,
TCKT0727,S10727,Academic Support and Resources,جدول المحاضرات غير مناسب للكثيرين.,High,Open,2025-05-12,,
TCKT0728,S10728,IT,عملية التسجيل معقدة وتحتاج تبسيط.,Medium,Open,2025-05-14,,
TCKT0729,S10729,Financial Support,الرسوم تزيد دون إشعار مسبق.,Medium,In Progress,2025-05-16,,
TCKT0731,S10731,Academic Support and Resources,البرامج التدريبية قصيرة وغير كافية.,Medium,Open,2025-05-20,,
TCKT0732,S10732,IT,التطبيق الجامعي بطيء ومليان مشاكل.,Medium,Open,2025-05-22,,
TCKT0736,S10736,IT,التطبيق يتوقف وأداءه سيئ.,Medium,Open,2025-05-30,,
TCKT0744,S10744,IT,الدعم التقني ضعيف في أوقات حرجة.,Medium,Open,2025-06-15,,
TCKT0749,S10749,Financial Support,تغييرات الرسوم تسبب ارتباكاً.,Medium,Open,2025-06-25,,
TCKT0751,S10751,Financial Support,أعاني من تأخر صرف المنح وهذا يؤثر على مصاريفي.,High,In Progress,2025-04-01,,
TCKT0752,S10752,Student Affairs,مرافق السكن بحالة سيئة والإدارة ما بتردش.,Medium,Open,2025-04-03,,
TCKT0753,S10753,Academic Support and Resources,الشروحات غير واضحة وبتحتاج لتحسين.,Medium,Open,2025-04-05,,
TCKT0754,S10754,IT,الإنترنت بيقطع بشكل مستمر وده بيخرب دراستي.,Urgent,Open,2025-04-07,,
TCKT0755,S10755,Financial Support,الرسوم الدراسية عالية جدًا ومش مبررة.,High,Open,2025-04-09,,
TCKT0756,S10756,Student Affairs,غياب الفعاليات يخلي الحياة الجامعية مملة.,Low,Open,2025-04-11,,
TCKT0757,S10757,Academic Support and Resources,المكتبة مش بتوفر المصادر اللي محتاجها.,Medium,Open,2025-04-13,,
TCKT0758,S10758,IT,الدعم الفني بطيء وما بيردش بسرعة.,Medium,Open,2025-04-15,,
TCKT0759,S10759,Financial Support,الإجراءات المالية معقدة ومرهقة لينا.,Medium,Open,2025-04-17,,
TCKT0760,S10760,Student Affairs,الكافتيريا دايمًا مزدحمة وده مزعج.,Medium,Open,2025-04-19,,
TCKT0761,S10761,Academic Support and Resources,الكتب مش متوفرة كاملة على الإنترنت.,High,Open,2025-04-21,,
TCKT0762,S10762,IT,مشاكل متكررة في تسجيل الدخول.,High,In Progress,2025-04-23,,
TCKT0763,S10763,Financial Support,الفواتير مش واضحة وبتغير من غير ما نعرف.,Medium,Open,2025-04-25,,
TCKT0764,S10764,Student Affairs,الإضاءة في الممرات ضعيفة وخطيرة.,Urgent,Open,2025-04-27,,
TCKT0765,S10765,Academic Support and Resources,المواد الدراسية بتحتاج دعم أكاديمي أكتر.,Medium,Open,2025-04-29,,
TCKT0766,S10766,IT,الموقع بطيء ومش سهل استخدامه.,Medium,Open,2025-05-01,,
TCKT0767,S10767,Financial Support,التقارير المالية ملخبطة ومش واضحة.,Medium,In Progress,2025-05-03,,
TCKT0768,S10768,Student Affairs,مافيش أماكن كفاية عشان نذاكر مع بعض.,Low,Open,2025-05-05,,
TCKT0769,S10769,Academic Support and Resources,الكتب غير متوفرة بسهولة.,High,Open,2025-05-07,,
TCKT0770,S10770,IT,تحميل المحاضرات بياخد وقت طويل.,Medium,Open,2025-05-09,,
TCKT0771,S10771,Financial Support,تأخير منح الجامعة مضايقنا جدًا.,High,Open,2025-05-11,,
TCKT0772,S10772,Student Affairs,الكافتيريا مزدحمة والوقت بيضيع.,Medium,Open,2025-05-13,,
TCKT0773,S10773,Academic Support and Resources,المختبرات نفس الأجهزة قديمة ومش شغالة.,Medium,Open,2025-05-15,,
TCKT0774,S10774,IT,الدعم الفني بيتأخر جدًا في الرد.,Medium,Open,2025-05-17,,
TCKT0775,S10775,Financial Support,إجراءات صرف الدعم معقدة مش مفهومة.,Medium,Open,2025-05-19,,
TCKT0776,S10776,Student Affairs,المواصلات مش منظمة في الوقت المناسب.,Medium,Open,2025-05-21,,
TCKT0777,S10777,Academic Support and Resources,جدول المحاضرات غير عملي.,High,Open,2025-05-23,,
TCKT0778,S10778,IT,تسجيل المواد معقد ومش واضح.,Medium,Open,2025-05-25,,
TCKT0779,S10779,Financial Support,الرسوم بتزيد بدون أسباب واضحة.,Medium,In Progress,2025-05-27,,
TCKT0780,S10780,Student Affairs,أسعار الطعام مرتفعة وجودته ضعيفة.,Low,Open,2025-05-29,,
TCKT0781,S10781,Academic Support and Resources,الدورات تدريبية قصيرة ومحدودة المحتوى.,Medium,Open,2025-05-31,,
TCKT0782,S10782,IT,التطبيق دايمًا بتظهر فيه مشاكل.,Medium,Open,2025-06-02,,
TCKT0783,S10783,Financial Support,التقارير المالية مش واضحة ومعقدة.,Medium,Open,2025-06-04,,
TCKT0784,S10784,Student Affairs,الانضمام للنوادي صعب جدًا.,Medium,Open,2025-06-06,,
TCKT0785,S10785,Academic Support and Resources,الدعم الإلكتروني ضعيف.,High,In Progress,2025-06-08,,
TCKT0786,S10786,IT,التطبيق بطيء وبيعلق كثير.,Medium,Open,2025-06-10,,
TCKT0787,S10787,Financial Support,المسائل المالية محيرة للطلاب.,Medium,Open,2025-06-12,,
TCKT0788,S10788,Student Affairs,قلة مواقف السيارات تسبب مشكلة كبيرة.,Low,Open,2025-06-14,,
TCKT0789,S10789,Academic Support and Resources,الدورات قصيرة ومفيش متابعة.,Medium,Open,2025-06-16,,
TCKT0790,S10790,IT,المختبر الرقمي فيه مشاكل كثيرة.,High,In Progress,2025-06-18,,
TCKT0791,S10791,Financial Support,الإجراءات البيروقراطية تأخر الدعم.,Medium,Open,2025-06-20,,
TCKT0792,S10792,Student Affairs,الضجيج في السكن مزعج جدًا.,Medium,Open,2025-06-22,,
TCKT0794,S10794,IT,الدعم التقني مش متوفر أوقات العطل.,Medium,Open,2025-06-26,,
TCKT0795,S10795,Financial Support,بعض الطلاب مش بيلاقوا دعم مالي.,Medium,Open,2025-06-28,,
TCKT0796,S10796,Student Affairs,الإضاءة ضعيفة والممرات خطيرة.,Urgent,Open,2025-06-30,,
TCKT0797,S10797,Academic Support and Resources,نقص التمويل بيأثر على جودة المختبرات.,Medium,In Progress,2025-07-02,,
TCKT0798,S10798,IT,التقنية بتتعطل كتير وأثر على الدراسة.,High,Open,2025-07-04,,
TCKT0799,S10799,Financial Support,تغييرات مفاجئة في الرسوم بتسبب لخبطة.,Medium,Open,2025-07-06,,
TCKT0800,S10800,Student Affairs,ضغط السكن عالي والبيئة مش مناسبة.,Medium,Open,2025-07-08,,
TCKT0801,S10801,Financial Support,تأخر صرف المنحة تأثيره سلبي على ميزانيتي.,High,In Progress,2025-07-10,,
TCKT0802,S10802,Student Affairs,السكن غير مرتب والمرافق تحتاج صيانة عاجلة.,Medium,Open,2025-07-12,,
TCKT0803,S10803,Academic Support and Resources,شرح المواد العلمية مش دايمًا واضح.,Medium,Open,2025-07-14,,
TCKT0804,S10804,IT,الشبكة ضعيفة في المعامل وبتأثر على الدراسة.,Urgent,Open,2025-07-16,,
TCKT0805,S10805,Financial Support,الرسوم الدراسية بتتغير بدون تبليغ.,High,Open,2025-07-18,,
TCKT0806,S10806,Student Affairs,قلة نشاطات الجامعة بتؤثر على الروح المعنوية.,Low,Open,2025-07-20,,
TCKT0807,S10807,Academic Support and Resources,المكتبة محتاجة تحديث ومصادر جديدة.,Medium,Open,2025-07-22,,
TCKT0808,S10808,IT,الدعم الفني مش بيساعد بسرعة.,Medium,Open,2025-07-24,,
TCKT0809,S10809,Financial Support,الإجراءات البنكية معقدة وصعبة للطلاب.,Medium,Open,2025-07-26,,
TCKT0810,S10810,Student Affairs,الكافتيريا مزدحمة والأسعار مرتفعة.,Medium,Open,2025-07-28,,
TCKT0811,S10811,Academic Support and Resources,الكتب الدراسية مش متوفرة أونلاين.,High,Open,2025-07-30,,
TCKT0812,S10812,IT,تسجيل الدخول في النظام بطيء.,High,In Progress,2025-08-01,,
TCKT0813,S10813,Financial Support,الفواتير مش دايمًا دقيقة.,Medium,Open,2025-08-03,,
TCKT0814,S10814,Student Affairs,الإضاءة ضعيفة وبتشكل خطر.,Urgent,Open,2025-08-05,,
TCKT0815,S10815,Academic Support and Resources,نحتاج لتوجيه أكاديمي أفضل.,Medium,Open,2025-08-07,,
TCKT0816,S10816,IT,الموقع الإلكتروني بيعلق كتير.,Medium,Open,2025-08-09,,
TCKT0817,S10817,Financial Support,التقارير المالية مش واضحة.,Medium,In Progress,2025-08-11,,
TCKT0818,S10818,Student Affairs,مافيش أماكن كفاية للدراسة الجماعية.,Low,Open,2025-08-13,,
TCKT0819,S10819,Academic Support and Resources,الكتب مش متاحة للتحميل.,High,Open,2025-08-15,,
TCKT0821,S10821,Financial Support,تأخيرات المنح بتسبب لنا مشاكل.,High,Open,2025-08-19,,
TCKT0822,S10822,Student Affairs,الحشد في الكافتيريا مزعج.,Medium,Open,2025-08-21,,
TCKT0823,S10823,Academic Support and Resources,المختبرات محتاجة تحديث.,Medium,Open,2025-08-23,,
TCKT0824,S10824,IT,الدعم الفني بطيء جدًا.,Medium,Open,2025-08-25,,
TCKT0825,S10825,Financial Support,تعقيد الإجراءات المالية مشكلة مستمرة.,Medium,Open,2025-08-27,,
TCKT0826,S10826,Student Affairs,المواصلات صعبة وبيئة الحرم غير مريحة.,Medium,Open,2025-08-29,,
TCKT0829,S10829,Financial Support,الرسوم تتغير فجأة.,Medium,In Progress,2025-09-04,,
TCKT0830,S10830,Student Affairs,أسعار الطعام مرتفعة وجودة ضعيفة.,Low,Open,2025-09-06,,
TCKT0831,S10831,Academic Support and Resources,الدورات قصيرة وغير كاملة.,Medium,Open,2025-09-08,,
TCKT0832,S10832,IT,التطبيق بيواجه مشاكل كتير.,Medium,Open,2025-09-10,,
TCKT0833,S10833,Financial Support,التقارير المالية تحتوي على أخطاء.,Medium,Open,2025-09-12,,
TCKT0834,S10834,Student Affairs,إجراءات الانضمام للنوادي صعبة.,Medium,Open,2025-09-14,,
TCKT0836,S10836,IT,التطبيق بطيء وفيه توقفات.,Medium,Open,2025-09-18,,
TCKT0837,S10837,Financial Support,المسائل المالية معقدة للطلاب.,Medium,Open,2025-09-20,,
TCKT0839,S10839,Academic Support and Resources,الدورات التدريبية غير مستمرة.,Medium,Open,2025-09-24,,
TCKT0841,S10841,Financial Support,البيروقراطية تبطئ الدعم.,Medium,Open,2025-09-28,,
TCKT0842,S10842,Student Affairs,الضوضاء في السكن مزعجة.,Medium,Open,2025-09-30,,
